"刑事案件─分局別-年 依 期間, 分局別, 項目別 與"
"發生數、破獲數、破獲率、嫌疑犯、犯罪率、犯罪人口率"

" "," "," 全般刑案總計"," "," "," "," "," "," 竊盜"," "," "," "," "," "," 暴力犯罪"," "," "," "," "," "," 其他"," "," "," "," "," "
" "," "," 發生數(件)"," 破獲數(件)"," 破獲率(%)"," 嫌疑犯(人)"," 犯罪率(件/十萬人口)"," 犯罪人口率(人/十萬人口)"," 發生數(件)"," 破獲數(件)"," 破獲率(%)"," 嫌疑犯(人)"," 犯罪率(件/十萬人口)"," 犯罪人口率(人/十萬人口)"," 發生數(件)"," 破獲數(件)"," 破獲率(%)"," 嫌疑犯(人)"," 犯罪率(件/十萬人口)"," 犯罪人口率(人/十萬人口)"," 發生數(件)"," 破獲數(件)"," 破獲率(%)"," 嫌疑犯(人)"," 犯罪率(件/十萬人口)"," 犯罪人口率(人/十萬人口)"
"2017"
" "," 總計",45018.00,43093.00,95.72,37758.00,1130.27,947.99,8680.00,8377.00,96.51,4736.00,217.93,118.91,156.00,165.00,105.77,198.00,3.92,4.97,36182.00,34551.00,95.49,32824.00,908.42,824.11
" "," 板橋分局",3293.00,2917.00,88.58,3415.00,1336.31,1385.82,632.00,531.00,84.02,404.00,256.47,163.95,17.00,19.00,111.76,21.00,6.90,8.52,2644.00,2367.00,89.52,2990.00,1072.95,1213.36
" "," 海山分局",4002.00,4070.00,101.70,4008.00,1310.16,1312.13,801.00,840.00,104.87,512.00,262.23,167.62,7.00,8.00,114.29,8.00,2.29,2.62,3194.00,3222.00,100.88,3488.00,1045.64,1141.89
" "," 中和分局",4140.00,3772.00,91.11,2835.00,1000.17,684.90,828.00,761.00,91.91,410.00,200.03,99.05,14.00,16.00,114.29,16.00,3.38,3.87,3298.00,2995.00,90.81,2409.00,796.76,581.99
" "," 永和分局",2121.00,2101.00,99.06,1807.00,949.88,809.25,401.00,460.00,114.71,212.00,179.59,94.94,7.00,7.00,100.00,9.00,3.13,4.03,1713.00,1634.00,95.39,1586.00,767.16,710.28
" "," 三重分局",6101.00,5534.00,90.71,4465.00,1572.29,1150.68,1191.00,1153.00,96.81,531.00,306.93,136.84,19.00,21.00,110.53,12.00,4.90,3.09,4891.00,4360.00,89.14,3922.00,1260.46,1010.74
" "," 新莊分局",5470.00,5009.00,91.57,4824.00,922.76,813.79,1277.00,1254.00,98.20,790.00,215.42,133.27,24.00,24.00,100.00,28.00,4.05,4.72,4169.00,3731.00,89.49,4006.00,703.29,675.79
" "," 土城分局",3459.00,3173.00,91.73,2823.00,1451.63,1184.72,623.00,588.00,94.38,307.00,261.45,128.84,10.00,9.00,90.00,26.00,4.20,10.91,2826.00,2576.00,91.15,2490.00,1185.98,1044.97
" "," 新店分局",4005.00,3909.00,97.60,3508.00,1158.16,1014.43,508.00,435.00,85.63,314.00,146.90,90.80,11.00,11.00,100.00,15.00,3.18,4.34,3486.00,3463.00,99.34,3179.00,1008.07,919.29
" "," 蘆洲分局",3939.00,3683.00,93.50,2931.00,1193.85,888.34,736.00,698.00,94.84,373.00,223.07,113.05,12.00,12.00,100.00,11.00,3.64,3.33,3191.00,2973.00,93.17,2547.00,967.14,771.96
" "," 三峽分局",2091.00,1981.00,94.74,1294.00,933.73,577.83,508.00,509.00,100.20,270.00,226.85,120.57,10.00,9.00,90.00,13.00,4.47,5.81,1573.00,1463.00,93.01,1011.00,702.42,451.46
" "," 樹林分局",1979.00,1992.00,100.66,1199.00,1223.12,741.04,373.00,356.00,95.44,161.00,230.53,99.51,6.00,6.00,100.00,8.00,3.71,4.94,1600.00,1630.00,101.88,1030.00,988.88,636.59
" "," 汐止分局",1483.00,1373.00,92.58,1252.00,746.97,630.62,318.00,286.00,89.94,200.00,160.17,100.74,12.00,12.00,100.00,14.00,6.04,7.05,1153.00,1075.00,93.24,1038.00,580.75,522.83
" "," 淡水分局",1841.00,1773.00,96.31,958.00,964.05,501.66,303.00,255.00,84.16,75.00,158.67,39.27,2.00,2.00,100.00,1.00,1.05,0.52,1536.00,1516.00,98.70,882.00,804.33,461.86
" "," 瑞芳分局",813.00,844.00,103.81,850.00,1215.96,1271.30,135.00,134.00,99.26,117.00,201.91,174.99,1.00,1.00,100.00,0.00,1.50,0.00,677.00,709.00,104.73,733.00,1012.56,1096.31
" "," 金山分局",281.00,329.00,117.08,333.00,493.89,585.29,46.00,52.00,113.04,28.00,80.85,49.21,4.00,4.00,100.00,3.00,7.03,5.27,231.00,273.00,118.18,302.00,406.01,530.80
" "," 中和第一分局",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
" "," 中和第二分局",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
" "," 其他",0.00,633.00,--,1256.00,--,--,0.00,65.00,--,32.00,--,--,0.00,4.00,--,13.00,--,--,0.00,564.00,--,1211.00,--,--

"2012年起有分局別資料 "
"犯罪率為每十萬人口發生多少件刑案 "
"自2016年10月25日起中和第一分局及中和第二分局合併為「中和分局」 "
"106年起「暴力犯罪」不含「對幼性交」 "
" "

